INFO:root:server started
INFO:root:delegating col 275
INFO:root:col 275 processed
INFO:root:delegating col 276
INFO:root:col 276 processed
INFO:root:delegating col 277
INFO:root:col 277 processed
INFO:root:delegating col 278
INFO:root:col 278 processed
INFO:root:delegating col 279
INFO:root:col 279 processed
INFO:root:delegating col 280
INFO:root:col 280 processed
INFO:root:delegating col 281
INFO:root:col 281 processed
INFO:root:delegating col 282
INFO:root:col 282 processed
INFO:root:delegating col 283
INFO:root:col 283 processed
INFO:root:delegating col 284
INFO:root:col 284 processed
INFO:root:delegating col 285
INFO:root:col 285 processed
INFO:root:delegating col 286
INFO:root:col 286 processed
INFO:root:delegating col 287
INFO:root:col 287 processed
INFO:root:delegating col 288
INFO:root:col 288 processed
INFO:root:delegating col 289
INFO:root:col 289 processed
INFO:root:delegating col 290
INFO:root:col 290 processed
INFO:root:delegating col 291
INFO:root:col 291 processed
INFO:root:delegating col 292
INFO:root:col 292 processed
INFO:root:delegating col 293
INFO:root:col 293 processed
INFO:root:delegating col 294
INFO:root:col 294 processed
INFO:root:delegating col 295
INFO:root:col 295 processed
INFO:root:delegating col 296
INFO:root:col 296 processed
INFO:root:delegating col 297
INFO:root:col 297 processed
INFO:root:delegating col 298
INFO:root:col 298 processed
INFO:root:delegating col 299
INFO:root:col 299 processed
INFO:root:delegating col 300
INFO:root:col 300 processed
INFO:root:delegating col 301
INFO:root:col 301 processed
INFO:root:delegating col 302
INFO:root:col 302 processed
INFO:root:delegating col 303
INFO:root:col 303 processed
INFO:root:delegating col 304
INFO:root:col 304 processed
INFO:root:delegating col 305
INFO:root:col 305 processed
INFO:root:delegating col 306
INFO:root:col 306 processed
INFO:root:delegating col 307
INFO:root:col 307 processed
INFO:root:delegating col 308
INFO:root:col 308 processed
INFO:root:delegating col 309
INFO:root:col 309 processed
INFO:root:delegating col 310
INFO:root:col 310 processed
INFO:root:delegating col 311
INFO:root:col 311 processed
INFO:root:delegating col 312
INFO:root:col 312 processed
INFO:root:delegating col 313
INFO:root:col 313 processed
INFO:root:delegating col 314
